N°,Couleur,inventaire,Format,Etagère,"valeur stock(€)",Région,Appellation,Domaine,Cuvée,Millésime,Date d'achat,Fournisseur,Qté,Prix unitaire (€),franc,"Prix total (€)",boire à partir de,apogée début,apogée fin,boire avant,Commentaires,Cote unitaire,Cote Totale
423,,0,,M2,0,Rhône,Cornas,Domaine Clape,,2004,20070601,Nicolas,2,0.0,,0,,,,,cadeau Sophie et Henri. Dernière b bue avec F&V le 11/11/21. En pleine forme. 7/10,,
425,,6,,M2,13,Loire,Bourgueil,Domaine Audebert  ,Domaine du Grand Clos,2005,20070826,au Domaine,12,2.2,,26,,,,,,,
426,B doux,2,0.67,K9,6,Loire ,Côteaux du Layon,Domaine Philippe Delesvaux,Clos de la Guiberderie,2004,20070826,au Domaine,6,2.8,,17,,,,,"poulet rôti, confit, tarte Tatin",,
428,B doux,3,0.67,K6,25,Loire ,Côteaux du Layon,Domaine Philippe Delesvaux,Sélection de Grains Nobles,2005,20070826,au Domaine,2,8.2,,16,,,,,"apéritif, disgestif, foie gras",,
427,B doux,6,0.67,K8,18,Loire ,Côteaux du Layon,Domaine Philippe Delesvaux,Clos du Pavillon,2004,20070826,au Domaine,6,3.0,,18,,,,,,,
437,,5,,L4,32,Bordeaux,Pessac-Léognan,Château La Louvière,Rouge,2005,20070916,Intermarché,6,6.3,,38,,,,,,,
431,,1,,S3,6,Rhône,Chateauneuf du pape,Domaine de la Solitude,,2005,20070919,Auchan,2,6.0,,12,,,,,1b bue avec Olivier. Très agréable et très bien en point.,,
440,B,1,,D5,7,Alsace,Alsace ,Domaine René Muré,Clos Saint Landelin Pinot Gris,2003,20070920,Auchan,1,7.0,,7,2009,,,,,,
441,B doux,1,,D1,4,Alsace,Alsace ,Domaine des Anges,Gewurstraminer vendanges tardives,2005,20070920,Auchan,1,4.3,,4,2009,,,,,,
439,B doux,1,,D1,6,Alsace,Alsace ,Domaine Ernest Burn,Clos Saint Imer Muscat Goldert,2004,20070920,Auchan,1,5.7,,6,,,,,,,
442,B doux,1,0.67,D1,3,Alsace,Alsace ,Domaine K. Schiele,Gewurstraminer vendanges tardives,2000,20070920,Auchan,2,3.5,,7,2009,,,,,,
434,,3,,Bo5,20,Bourgogne,Morey Saint-Denis,Domaine Etienne Cosson,"1er cru ""Clos Sorbes""",2005,20070920,Auchan,6,6.7,,40,,,,,,,
433,,2,,T3,0,Bourgogne,Pommard ,Domaine Lejeune,"1er cru ""Les poutures""",2003,20070920,Auchan,6,0.0,,0,,,,,"Bu le 6/9/21 avec les amis. Excellent, nez superbe. Laisser s'ouvrir.",,
446,,6,,B3,50,Bordeaux,Pessac-Léognan,Domaine de Chevalier,,2004,20070921,Auchan,6,8.3,,50,,,,,,,
445,,2,2,Bo4,43,Bordeaux,Saint-Estèphe,Château Haut-Marbuzet,,2005,20070921,Auchan,2,21.7,,43,,,,,,,
447.1,,5,,J3,18,Bordeaux,Graves,Clos Floridène,Rouge,2005,20070925,E. Leclerc,6,3.6,,22,,,,,,,
447,,6,,B4,22,Bordeaux,Graves,Clos Floridène,Rouge,2005,20070925,E. Leclerc,6,3.6,,22,,,,,,,
449,,1,,G14,4,Roussillon,Rivesaltes , Domaine Riveyrac,Grande Réserve,1984,20070925,E. Leclerc,6,3.5,,21,,,,,,,
450,B,2,,D13,10,Jura,Vin jaune,Maison des vignerons,Vin Jaune,2000,20071002,Métro,6,5.0,,30,,,,,,,
454,B,0,,D1,0,Alsace,Alsace,Domaine Dopff au Moulin,Riesling Grand Cru Schoenenbourg,2004,20071004,Champion,6,2.7,,16,,,,,dernière b bue 26/12/2021 avec F&V. Très agréable.,,
456,,1,,T3,8,Bourgogne,Aloxe-Corton,Domaine Jacob,1er Cru ,2006,20071123,au Domaine,2,8.0,,16,,2011,2020,,achetè aux Caves particulières,,
459,,1,,T5,9,Bourgogne,Aloxe-Corton,Domaine André Château Corton,1er Cru,2005,20071125,au Domaine,3,9.0,,27,,,,,WE œnologique CE Guynemer. 1b bue le 12022022 avec FVS. Bon niveau.,,
461,,1,,M2,5,Bourgogne,Chassagne-Montrachet,Domaine Lamy-Pillot,"1er Cru ""Morgeot""  Rouge",2006,20071125,au Domaine,4,5.4,,21,,,,,WE œnologique CE Guynemer,,
463,,1,,M2,9,Bourgogne,Nuits-Saint-Georges,Domaine Patriarche,,2005,20071125,au Domaine,2,9.3,,19,,,,,WE œnologique CE Guynemer.  1b bue 26/12/2021 avec F&V. Décevant.,,
945,,3,,Bo5,15,Bordeaux,Saint-Emilion,Château Moine Vieux,,2005,20080101,Vignery,3,5.0,,15,,,,2020,acheté pour Sylvaine Duvochel,,
466,B doux,6,,B2,53,Bordeaux,Sauternes,Château Doisy Daëne,,2007,20080526,Château Internet,6,8.8,,53,,,,,acheté en Primeur,,
467,B doux,6,,B2,59,Bordeaux,Sauternes,Château Guiraud,,2007,20080526,Château Internet,6,9.8,,59,,,,,acheté en Primeur,,
468,B doux,6,,B2,88,Bordeaux,Sauternes,Château Nairac,,2007,20080526,Château Internet,6,14.7,,88,,,,,acheté en Primeur,,
476,,0,,B3,0,Bordeaux,Pessac-Léognan,Domaine de Chevalier,,2004,20080917,Auchan,6,8.2,,49,,,,,erreur caisse: les 6b vendues au prix d'une seule,,
469,,1,,T5,7,Bourgogne,Nuits-Saint-Georges,Domaine Frédéric Magnien,"""Vieilles vignes""",2006,20080917,Métro,1,6.7,,7,2010,,,,,,
478,,11,,L4,121,Bordeaux,Haut-Médoc,Château Sociando-Mallet,,2005,20080924,E. Leclerc,12,11.0,,132,,,,2035,,,
484,B,1,,D13,6,Alsace,Alsace,Domaine Marcel Humbrecht,Gewurtztraminer Grand Cru Goldert,2006,20090329,au Domaine,1,6.3,,6,,,,,achetè aux Caves particulières,,
483,B,1,,D13,4,Alsace,Alsace,Domaine Marcel Humbrecht,Riesling Grand Cru Goldert,2007,20090329,au Domaine,2,4.3,,9,,,,,"achetè aux Caves particulières 1b bu le 19 juin 2020 avec François sur homard: délicieux, en pleine forme, belle couleur, doit s'aérer",,
485,,2,,G4,6,Jura,Arbois,Domaine Ligier,"Trousseau ""Chassagne""",2006,20090329,au Domaine,6,2.8,,17,,2009,2012,,achetè aux Caves particulières,,
486,,2,,G4,6,Jura,Arbois,Domaine Ligier,Trousseau ,2005,20090329,au Domaine,6,3.0,,18,,2015,2020,,achetè aux Caves particulières,,
488,B,1,,K2,4,Jura,Arbois,Domaine Ligier,"Savagnin ouillé ""Cuvée des Poètes""",2006,20090329,au Domaine,3,3.5,,11,,,,,achetè aux Caves particulières,,
487,B,1,,K2,3,Jura,Arbois,Domaine Ligier,Chardonnay Vieilles vignes,2006,20090329,au Domaine,3,3.2,,10,,,,,achetè aux Caves particulières,,
489,B doux,2,,K6,9,Loire,Côteaux du Layon,Domaine Cady,"""Varennes""",2007,20090329,au Domaine,3,4.3,,13,,,,,Caves particulières. 1ère b bue avec F+V le 15/03/2021 sur canard laqué. Très moelleux et délicieux,,
491,,2,,M2,21,Rhône,Cornas,Domaine Alain Voge,"""Les Vieilles Vignes""",2006,20090420,au Domaine,2,10.3,,21,,2020,2025,,acheté sur la route vers le Lubéron,,
494,,10,,A4,233,Bordeaux,Saint-Estèphe,Cos d'Estournel,,2008,20090508,Château Online,12,23.3,,280,,,,2040,acheté en Primeur,,
